,Date,Open,High,Low,Close,Adj Close,Volume,ema_5,ema_10,ema_20,ema_30,ema_50,ema_100,ema_200
0,1985-01-29,1277.719971,1295.48999,1266.890015,1292.619995,1292.619995,13560000,1292.619995,1292.619995,1292.619995,1292.619995,1292.619995,1292.619995,1292.619995
1,1985-01-30,1297.369995,1305.099976,1278.930054,1287.880005,1287.880005,16820000,1291.0399983333334,1291.7581786363637,1292.1685673809523,1292.3141891935484,1292.4341130392156,1292.5261338118812,1292.572830920398
2,1985-01-31,1283.23999,1293.400024,1272.640015,1286.77002,1286.77002,14070000,1289.6166722222224,1290.8512407024793,1291.6544200113376,1291.956500858481,1292.21199174356,1292.4121513601608,1292.5150915082547
3,1985-02-01,1276.939941,1286.109985,1269.77002,1277.719971,1277.719971,10980000,1285.6511051481484,1288.4637371202102,1290.3273296293055,1291.0380150611597,1291.6436772045968,1292.1212170956032,1292.3678763788196
4,1985-02-04,1272.079956,1294.939941,1268.98999,1290.079956,1290.079956,11630000,1287.1273887654324,1288.7575950983537,1290.3037702360384,1290.9762047991496,1291.5823548044166,1292.0807960838092,1292.345111001916
5,1985-02-05,1294.060059,1301.130005,1278.599976,1285.22998,1285.22998,13800000,1286.4949191769551,1288.1162105350165,1289.8205521183206,1290.6054806185593,1291.3332420669885,1291.9451363593773,1292.2743136785139
6,1985-02-06,1284.890015,1294.5,1275.069946,1280.589966,1280.589966,14610000,1284.5266014513036,1286.7478024377406,1288.9414486784806,1289.959318385104,1290.9119371231852,1291.7202815007756,1292.1580515125586
7,1985-02-07,1285.0,1297.040039,1279.810059,1290.079956,1290.079956,11440000,1286.3777196342025,1287.3536485399695,1289.0498779471968,1289.967101457033,1290.879310412472,1291.687799807691,1292.1373739452695
8,1985-02-08,1290.079956,1297.150024,1281.359985,1289.969971,1289.969971,8000000,1287.5751367561352,1287.829343532702,1289.1375058569877,1289.9672865888376,1290.8436500433554,1291.6537833956575,1292.1158077468092
9,1985-02-11,1287.98999,1291.73999,1268.660034,1276.060059,1276.060059,12600000,1283.7367775040902,1285.689473617665,1287.8920347277506,1289.0700460992352,1290.2639013749886,1291.3449967739614,1291.9560490528113
10,1985-02-12,1271.199951,1283.130005,1266.339966,1276.609985,1276.609985,11870000,1281.361180002727,1284.0386575053622,1286.8175538012981,1288.2661711896071,1289.7284536740087,1291.0532143625958,1291.803351898057
11,1985-02-13,1277.829956,1304.660034,1274.51001,1297.920044,1297.920044,14050000,1286.8808013351513,1286.5625459589326,1287.8749338202222,1288.8890016935036,1290.0496925103223,1291.189191187099,1291.8642145060364
12,1985-02-14,1301.790039,1307.530029,1283.680054,1287.880005,1287.880005,14020000,1287.2138692234344,1286.8020839663993,1287.8754167897248,1288.8239051326325,1289.9646067256037,1291.1236627477504,1291.8245706303544
13,1985-02-15,1289.199951,1296.27002,1275.069946,1282.02002,1282.02002,8730000,1285.4825861489562,1285.9326177906903,1287.3177599526082,1288.384944801495,1289.6530543049919,1290.9433925943297,1291.7270129126393
14,1985-02-19,1279.810059,1287.430054,1273.52002,1280.589966,1280.589966,6690000,1283.851712765971,1284.9612265560195,1286.6770176714074,1287.8820429433342,1289.2976390773451,1290.738374245927,1291.6161965254491
15,1985-02-20,1280.150024,1292.51001,1272.530029,1283.130005,1283.130005,10760000,1283.6111435106473,1284.6282771821975,1286.339206940797,1287.575459850216,1289.055771074312,1290.5877134687798,1291.531756808778
16,1985-02-21,1280.369995,1287.099976,1272.640015,1279.040039,1279.040039,8600000,1282.0874420070982,1283.6122338763432,1285.6440480892927,1287.024787537299,1288.6629972674762,1290.3590466476157,1291.4074611091883
17,1985-02-22,1277.939941,1286.550049,1269.98999,1275.839966,1275.839966,8500000,1280.004950004732,1282.1990942624625,1284.7103259855505,1286.303186147796,1288.1601332962025,1290.0715401001382,1291.2525606603408
18,1985-02-25,1269.98999,1283.130005,1263.910034,1277.5,1277.5,8420000,1279.1699666698214,1281.344713487469,1284.023628272641,1285.7352386543898,1287.7420888532142,1289.8225987120168,1291.1157192607354
19,1985-02-26,1276.280029,1293.180054,1272.310059,1286.109985,1286.109985,11910000,1281.4833061132144,1282.2111264897474,1284.2223289133417,1285.7594158379777,1287.6780847805394,1289.7490816088084,1291.0659109596338
20,1985-02-27,1285.670044,1295.27002,1274.400024,1281.030029,1281.030029,11900000,1281.332213742143,1281.9963814916114,1283.9183003501662,1285.4542941064954,1287.4173767107143,1289.5764271017033,1290.9660514376476
21,1985-02-28,1278.050049,1288.319946,1271.420044,1284.01001,1284.01001,8790000,1282.224812494762,1282.3624957658637,1283.9270346025314,1285.3611144867216,1287.2837544867648,1289.4662010204815,1290.8968370949844
22,1985-03-01,1285.339966,1309.959961,1282.689941,1299.359985,1299.359985,14730000,1287.9365366631748,1285.4529483538886,1285.3968394022904,1286.2642674230622,1287.7573321539505,1289.6621175349276,1290.9810475219
23,1985-03-04,1299.910034,1304.550049,1283.130005,1289.530029,1289.530029,12010000,1288.4677007754499,1286.1942357440907,1285.7904765068342,1286.4749617183486,1287.826849677325,1289.6595019203746,1290.9666095266573
24,1985-03-05,1290.079956,1300.02002,1281.030029,1291.849976,1291.849976,10060000,1289.5951258503,1287.222552154256,1286.3675716966595,1286.821736833294,1287.9846193370379,1289.7028776447237,1290.97539924281
25,1985-03-06,1291.849976,1296.930054,1275.51001,1280.369995,1280.369995,10990000,1286.5200822335335,1285.9766326716638,1285.7963739160252,1286.4054954246944,1287.6860066179383,1289.5180680874023,1290.8698728324339
26,1985-03-07,1276.829956,1283.23999,1265.459961,1271.530029,1271.530029,9870000,1281.5233978223557,1283.349977458634,1284.4376744002132,1285.4457879134238,1287.0524388682152,1289.1618692935922,1290.6774365753947
27,1985-03-08,1273.410034,1280.810059,1264.130005,1269.660034,1269.660034,9120000,1277.5689432149038,1280.8608968297913,1283.0302800763834,1284.4273521770738,1286.370383775344,1288.7756943372835,1290.46830819156
28,1985-03-11,1268.77002,1277.050049,1260.930054,1268.550049,1268.550049,7710000,1274.5626451432693,1278.6225608607383,1281.6512104500612,1283.4030100366174,1285.6715471174873,1288.3751865088225,1290.2502160603008
29,1985-03-12,1267.560059,1279.47998,1262.47998,1271.75,1271.75,8340000,1273.6250967621795,1277.373004340604,1280.708238026246,1282.6512029374808,1285.1256040932722,1288.0459748947862,1290.066134308457
30,1985-03-13,1270.97998,1278.27002,1257.619995,1261.699951,1261.699951,8840000,1269.6500481747864,1274.523358278676,1278.8979249761271,1281.2995092640951,1284.206951030791,1287.5242714513251,1289.7838837282734
