,Date,Open,High,Low,Close,Adj Close,Volume,denoised
0,1985-01-29,1277.719971,1295.48999,1266.890015,1292.619995,1292.619995,13560000,1396.446068881297
1,1985-01-30,1297.369995,1305.099976,1278.930054,1287.880005,1287.880005,16820000,1381.1693943204505
2,1985-01-31,1283.23999,1293.400024,1272.640015,1286.77002,1286.77002,14070000,1365.8883849632828
3,1985-02-01,1276.939941,1286.109985,1269.77002,1277.719971,1277.719971,10980000,1350.604995681889
4,1985-02-04,1272.079956,1294.939941,1268.98999,1290.079956,1290.079956,11630000,1335.3211817875251
5,1985-02-05,1294.060059,1301.130005,1278.599976,1285.22998,1285.22998,13800000,1320.038898590395
6,1985-02-06,1284.890015,1294.5,1275.069946,1280.589966,1280.589966,14610000,1304.7601009594894
7,1985-02-07,1285.0,1297.040039,1279.810059,1290.079956,1290.079956,11440000,1289.4867428825837
8,1985-02-08,1290.079956,1297.150024,1281.359985,1289.969971,1289.969971,8000000,1274.2207770265193
9,1985-02-11,1287.98999,1291.73999,1268.660034,1276.060059,1276.060059,12600000,1258.9641542978793
10,1985-02-12,1271.199951,1283.130005,1266.339966,1276.609985,1276.609985,11870000,1243.7188234041785
11,1985-02-13,1277.829956,1304.660034,1274.51001,1297.920044,1297.920044,14050000,1228.4867304156912
12,1985-02-14,1301.790039,1307.530029,1283.680054,1287.880005,1287.880005,14020000,1213.2698183280133
13,1985-02-15,1289.199951,1296.27002,1275.069946,1282.02002,1282.02002,8730000,1198.0700266254996
14,1985-02-19,1279.810059,1287.430054,1273.52002,1280.589966,1280.589966,6690000,1182.889290845675
15,1985-02-20,1280.150024,1292.51001,1272.530029,1283.130005,1283.130005,10760000,1167.729542144746
16,1985-02-21,1280.369995,1287.099976,1272.640015,1279.040039,1279.040039,8600000,1152.592706864313
17,1985-02-22,1277.939941,1286.550049,1269.98999,1275.839966,1275.839966,8500000,1137.4807060994165
18,1985-02-25,1269.98999,1283.130005,1263.910034,1277.5,1277.5,8420000,1122.3954552680252
19,1985-02-26,1276.280029,1293.180054,1272.310059,1286.109985,1286.109985,11910000,1107.338863682069
20,1985-02-27,1285.670044,1295.27002,1274.400024,1281.030029,1281.030029,11900000,1092.3128341201489
21,1985-02-28,1278.050049,1288.319946,1271.420044,1284.01001,1284.01001,8790000,1077.3192624020226
22,1985-03-01,1285.339966,1309.959961,1282.689941,1299.359985,1299.359985,14730000,1062.3600369649873
23,1985-03-04,1299.910034,1304.550049,1283.130005,1289.530029,1289.530029,12010000,1047.4370384422673
24,1985-03-05,1290.079956,1300.02002,1281.030029,1291.849976,1291.849976,10060000,1032.5521392435205
25,1985-03-06,1291.849976,1296.930054,1275.51001,1280.369995,1280.369995,10990000,1017.7072031375629
26,1985-03-07,1276.829956,1283.23999,1265.459961,1271.530029,1271.530029,9870000,1002.9040848374557
27,1985-03-08,1273.410034,1280.810059,1264.130005,1269.660034,1269.660034,9120000,988.1446295880086
28,1985-03-11,1268.77002,1277.050049,1260.930054,1268.550049,1268.550049,7710000,973.4306727558696
29,1985-03-12,1267.560059,1279.47998,1262.47998,1271.75,1271.75,8340000,958.7640394222598
30,1985-03-13,1270.97998,1278.27002,1257.619995,1261.699951,1261.699951,8840000,944.1465439784888
31,1985-03-14,1258.719971,1269.209961,1254.199951,1260.050049,1260.050049,7950000,929.5799897243476
32,1985-03-15,1259.719971,1266.890015,1245.140015,1247.349976,1247.349976,11280000,915.0661684694874
33,1985-03-18,1252.650024,1260.930054,1242.819946,1249.670044,1249.670044,8270000,900.6068601378806
34,1985-03-19,1249.01001,1274.180054,1245.689941,1271.089966,1271.089966,8990000,886.2038323754851
35,1985-03-20,1271.530029,1277.390015,1257.839966,1265.23999,1265.23999,10540000,871.8588401611967
36,1985-03-21,1263.800049,1278.930054,1257.619995,1268.219971,1268.219971,9630000,857.5736254212011
37,1985-03-22,1272.420044,1277.390015,1261.699951,1267.449951,1267.449951,7800000,843.349916646824
38,1985-03-25,1261.699951,1268.329956,1252.869995,1259.939941,1259.939941,7930000,829.1894285159867
39,1985-03-26,1257.069946,1267.560059,1252.099976,1259.719971,1259.719971,9520000,815.0938615183449
40,1985-03-27,1260.160034,1270.869995,1255.959961,1264.910034,1264.910034,8960000,801.0649015842386
41,1985-03-28,1265.900024,1275.51001,1256.630005,1260.709961,1260.709961,8700000,787.1042197175244
42,1985-03-29,1263.469971,1270.650024,1255.849976,1266.780029,1266.780029,9810000,773.2134716323969
43,1985-04-01,1264.800049,1276.280029,1260.48999,1272.75,1272.75,6930000,759.3942973942959
