Date,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_10,sma_25,sma_75,sma_125,sma_200
1985-02-26,12194.969727,12194.969727,12194.969727,12194.969727,12194.969727,0,12164.779882799998,12138.537988299997,,,,
1985-02-27,12287.379883,12287.379883,12287.379883,12287.379883,12287.379883,0,12191.781835999998,12164.704980499997,,,,
1985-02-28,12321.919922,12321.919922,12321.919922,12321.919922,12321.919922,0,12230.473828199998,12188.727929699995,,,,
1985-03-01,12412.139648,12412.139648,12412.139648,12412.139648,12412.139648,0,12283.489843799998,12215.112890599996,,,,
1985-03-04,12509.009766,12509.009766,12509.009766,12509.009766,12509.009766,0,12345.083789199998,12251.098828099994,12089.087500079999,,,
1985-03-05,12476.379883,12476.379883,12476.379883,12476.379883,12476.379883,0,12401.365820399998,12283.072851599993,12114.419882879998,,,
1985-03-06,12498.669922,12498.669922,12498.669922,12498.669922,12498.669922,0,12443.623828199998,12317.702832099993,12135.941484439996,,,
1985-03-07,12414.799805,12414.799805,12414.799805,12414.799805,12414.799805,0,12462.199804799999,12346.336816499992,12152.841093839997,,,
1985-03-08,12347.530273,12347.530273,12347.530273,12347.530273,12347.530273,0,12449.277929799999,12366.383886799991,12168.863906319999,,,
1985-03-11,12263.849609,12263.849609,12263.849609,12263.849609,12263.849609,0,12400.245898399997,12372.664843799994,12183.774687559999,,,
1985-03-12,12296.870117,12296.870117,12296.870117,12296.870117,12296.870117,0,12364.343945199997,12382.854882799993,12202.712304719998,,,
1985-03-13,12419.259766,12419.259766,12419.259766,12419.259766,12419.259766,0,12348.461913999996,12396.042871099991,12224.795898479999,,,
1985-03-14,12405.030273,12405.030273,12405.030273,12405.030273,12405.030273,0,12346.508007599996,12404.35390619999,12243.365117199999,,,
1985-03-15,12468.030273,12468.030273,12468.030273,12468.030273,12468.030273,0,12370.608007599996,12409.942968699992,12261.72593748,,,
1985-03-18,12506.639648,12506.639648,12506.639648,12506.639648,12506.639648,0,12419.166015399995,12409.705956899992,12281.631132760001,,,
1985-03-19,12477.990234,12477.990234,12477.990234,12477.990234,12477.990234,0,12455.390038799995,12409.866991999992,12299.635156200002,,,
1985-03-20,12541.370117,12541.370117,12541.370117,12541.370117,12541.370117,0,12479.812108999995,12414.137011499992,12320.261562440002,,,
1985-03-21,12541.370117,12541.370117,12541.370117,12541.370117,12541.370117,0,12507.080077799994,12426.794042699992,12338.648749920001,,,
1985-03-22,12542.599609,12542.599609,12542.599609,12542.599609,12542.599609,0,12521.993944999995,12446.300976299994,12354.421132720003,,,
1985-03-25,12493.259766,12493.259766,12493.259766,12493.259766,12493.259766,0,12519.317968599997,12469.241991999992,12368.185507720003,,,
1985-03-26,12486.150391,12486.150391,12486.150391,12486.150391,12486.150391,0,12520.949999999997,12488.170019399993,12381.365937440001,,,
1985-03-27,12550.820313,12550.820313,12550.820313,12550.820313,12550.820313,0,12522.840039199999,12501.326074099992,12397.303945280002,,,
1985-03-28,12604.019531,12604.019531,12604.019531,12604.019531,12604.019531,0,12535.369921999998,12521.224999899992,12416.32632808,,,
1985-03-29,12580.759766,12580.759766,12580.759766,12580.759766,12580.759766,0,12543.001953399998,12532.497949199991,12433.67433592,,,
1985-04-01,12677.150391,12677.150391,12677.150391,12677.150391,12677.150391,0,12579.7800784,12549.54902349999,12452.71875,,,
1985-04-02,12629.860352,12629.860352,12629.860352,12629.860352,12629.860352,0,12608.5220706,12564.736035299991,12470.114375,,,
1985-04-03,12683.259766,12683.259766,12683.259766,12683.259766,12683.259766,0,12635.0099612,12578.925000199992,12485.94957032,,,
1985-04-04,12627.099609,12627.099609,12627.099609,12627.099609,12627.099609,0,12639.625976799998,12587.497949399993,12498.156757800001,,,
1985-04-05,12544.240234,12544.240234,12544.240234,12544.240234,12544.240234,0,12632.322070399998,12587.662011899994,12503.440781240002,,,
1985-04-08,12635.959961,12635.959961,12635.959961,12635.959961,12635.959961,0,12624.083984399997,12601.932031399992,12508.518789040005,,,
1985-04-09,12630.429688,12630.429688,12630.429688,12630.429688,12630.429688,0,12624.197851599998,12616.359961099992,12514.680781240004,,,
1985-04-10,12601.929688,12601.929688,12601.929688,12601.929688,12601.929688,0,12607.931835999998,12621.470898599993,12518.811171880006,,,
1985-04-11,12573.799805,12573.799805,12573.799805,12573.799805,12573.799805,0,12597.271875199998,12618.448925999992,12525.171171880005,,,
1985-04-12,12588.009766,12588.009766,12588.009766,12588.009766,12588.009766,0,12606.0257816,12619.173925999992,12534.790351600004,,,
1985-04-15,12552.730469,12552.730469,12552.730469,12552.730469,12552.730469,0,12589.3798832,12606.73193379999,12546.345586000003,,,
1985-04-16,12207.280273,12207.280273,12207.280273,12207.280273,12207.280273,0,12504.750000199998,12564.473925899993,12542.761992240003,,,
1985-04-17,12302.05957,12302.05957,12302.05957,12302.05957,12302.05957,0,12444.775976599998,12526.353906299992,12538.073984400004,,,
1985-04-18,12052.820313,12052.820313,12052.820313,12052.820313,12052.820313,0,12340.580078199997,12468.925976699993,12523.985586000003,,,
1985-04-19,12114.799805,12114.799805,12114.799805,12114.799805,12114.799805,0,12245.938085999998,12425.98193379999,12509.856367280003,,,
1985-04-22,12179.919922,12179.919922,12179.919922,12179.919922,12179.919922,0,12171.375976599997,12380.37792989999,12496.787578240002,,,
1985-04-23,12124.139648,12124.139648,12124.139648,12124.139648,12124.139648,0,12154.747851599997,12329.74892589999,12482.6335548,,,
1985-04-24,12217.769531,12217.769531,12217.769531,12217.769531,12217.769531,0,12137.889843799998,12291.33291019999,12469.689531360002,,,
