,Date,Open,High,Low,Close,Adj Close,Volume,%K,%D
0,1985-01-29,1277.719971,1295.48999,1266.890015,1292.619995,1292.619995,13560000,,
1,1985-01-30,1297.369995,1305.099976,1278.930054,1287.880005,1287.880005,16820000,,
2,1985-01-31,1283.23999,1293.400024,1272.640015,1286.77002,1286.77002,14070000,,
3,1985-02-01,1276.939941,1286.109985,1269.77002,1277.719971,1277.719971,10980000,,
4,1985-02-04,1272.079956,1294.939941,1268.98999,1290.079956,1290.079956,11630000,,
5,1985-02-05,1294.060059,1301.130005,1278.599976,1285.22998,1285.22998,13800000,,
6,1985-02-06,1284.890015,1294.5,1275.069946,1280.589966,1280.589966,14610000,,
7,1985-02-07,1285.0,1297.040039,1279.810059,1290.079956,1290.079956,11440000,,
8,1985-02-08,1290.079956,1297.150024,1281.359985,1289.969971,1289.969971,8000000,,
9,1985-02-11,1287.98999,1291.73999,1268.660034,1276.060059,1276.060059,12600000,,
10,1985-02-12,1271.199951,1283.130005,1266.339966,1276.609985,1276.609985,11870000,,
11,1985-02-13,1277.829956,1304.660034,1274.51001,1297.920044,1297.920044,14050000,,
12,1985-02-14,1301.790039,1307.530029,1283.680054,1287.880005,1287.880005,14020000,,
13,1985-02-15,1289.199951,1296.27002,1275.069946,1282.02002,1282.02002,8730000,,
14,1985-02-19,1279.810059,1287.430054,1273.52002,1280.589966,1280.589966,6690000,,
15,1985-02-20,1280.150024,1292.51001,1272.530029,1283.130005,1283.130005,10760000,,
16,1985-02-21,1280.369995,1287.099976,1272.640015,1279.040039,1279.040039,8600000,,
17,1985-02-22,1277.939941,1286.550049,1269.98999,1275.839966,1275.839966,8500000,,
18,1985-02-25,1269.98999,1283.130005,1263.910034,1277.5,1277.5,8420000,,
19,1985-02-26,1276.280029,1293.180054,1272.310059,1286.109985,1286.109985,11910000,50.89397878197842,
20,1985-02-27,1285.670044,1295.27002,1274.400024,1281.030029,1281.030029,11900000,39.24804438881758,
