Date,Open,High,Low,Close,Adj Close,Volume,sma5,sma10,sma25,sma75,sma125,sma200
1985-03-25,1261.699951,1268.329956,1252.869995,1259.939941,1259.939941,7930000,1266.387964,1262.245984,1273.622397,1259.939941,1259.939941,1259.939941
1985-03-26,1257.069946,1267.560059,1252.099976,1259.719971,1259.719971,9520000,1264.113965,1261.042981,1272.787598,1259.719971,1259.719971,1259.719971
1985-03-27,1260.160034,1270.869995,1255.959961,1264.910034,1264.910034,8960000,1264.047974,1261.363989,1272.058799,1264.910034,1264.910034,1264.910034
1985-03-28,1265.900024,1275.51001,1256.630005,1260.709961,1260.709961,8700000,1262.545972,1261.429981,1271.325596,1260.709961,1260.709961,1260.709961
1985-03-29,1263.469971,1270.650024,1255.849976,1266.780029,1266.780029,9810000,1262.411987,1263.372986,1270.963198,1266.780029,1266.780029,1266.780029
1985-04-01,1264.800049,1276.280029,1260.48999,1272.75,1272.75,6930000,1264.973999,1265.680981,1270.773198,1272.75,1272.75,1272.75
1985-04-02,1273.959961,1280.150024,1261.47998,1265.680054,1265.680054,8460000,1266.166016,1265.13999,1269.956001,1265.680054,1265.680054,1265.680054
1985-04-03,1264.689941,1268.109985,1251.550049,1258.060059,1258.060059,9310000,1264.796021,1264.421997,1269.037202,1258.060059,1258.060059,1258.060059
1985-04-04,1256.290039,1264.23999,1248.339966,1259.050049,1259.050049,6920000,1264.464038,1263.505005,1268.038804,1259.050049,1259.050049,1259.050049
1985-04-08,1259.5,1267.01001,1246.02002,1252.97998,1252.97998,7940000,1261.704028,1262.058008,1266.183604,1252.97998,1252.97998,1252.97998
1985-04-09,1252.209961,1262.040039,1246.579956,1253.859985,1253.859985,8010000,1257.926025,1261.450012,1264.756802,1253.859985,1253.859985,1253.859985
1985-04-10,1256.849976,1269.099976,1252.099976,1259.939941,1259.939941,9130000,1256.778003,1261.472009,1263.4804,1259.939941,1259.939941,1259.939941
1985-04-11,1265.23999,1274.849976,1257.180054,1263.689941,1263.689941,10800000,1257.903979,1261.35,1262.813198,1263.689941,1263.689941,1263.689941
1985-04-12,1263.689941,1270.430054,1257.290039,1265.680054,1265.680054,7320000,1259.22998,1261.847009,1262.579199,1265.680054,1265.680054,1265.680054
1985-04-15,1262.589966,1272.420044,1257.839966,1266.780029,1266.780029,6870000,1261.98999,1261.847009,1262.463999,1266.780029,1266.780029,1266.780029
1985-04-16,1268.109985,1276.609985,1256.959961,1269.550049,1269.550049,9870000,1265.128003,1261.527014,1262.503999,1269.550049,1269.550049,1269.550049
1985-04-17,1269.660034,1277.5,1263.469971,1272.310059,1272.310059,9120000,1267.602026,1262.190015,1262.526401,1272.310059,1272.310059,1272.310059
1985-04-18,1278.819946,1281.910034,1260.819946,1265.130005,1265.130005,11170000,1267.890039,1262.897009,1262.663604,1265.130005,1265.130005,1265.130005
1985-04-19,1265.130005,1272.530029,1258.5,1266.560059,1266.560059,8740000,1268.06604,1263.64801,1262.924004,1266.560059,1266.560059,1266.560059
1985-04-22,1269.77002,1273.630005,1257.619995,1266.560059,1266.560059,7080000,1268.022046,1265.006018,1263.692407,1266.560059,1266.560059,1266.560059
1985-04-23,1265.349976,1282.910034,1261.150024,1278.709961,1278.709961,10790000,1269.854029,1267.491016,1264.854004,1278.709961,1278.709961,1278.709961
1985-04-24,1279.48999,1286.439941,1269.880005,1278.48999,1278.48999,8510000,1271.090015,1269.346021,1265.150005,1278.48999,1278.48999,1278.48999
1985-04-25,1276.829956,1289.199951,1272.530029,1284.780029,1284.780029,9620000,1275.02002,1271.455029,1265.931606,1284.780029,1284.780029,1284.780029
1985-04-26,1286.219971,1290.300049,1270.540039,1275.180054,1275.180054,8930000,1276.744019,1272.405029,1266.21001,1275.180054,1275.180054,1275.180054
1985-04-29,1272.859985,1277.939941,1257.400024,1259.719971,1259.719971,9200000,1275.376001,1271.699024,1265.900811,1259.719971,1259.719971,1259.719971
1985-04-30,1256.73999,1266.22998,1245.800049,1258.060059,1258.060059,12390000,1271.246021,1270.550025,1265.825615,1258.060059,1258.060059,1258.060059
1985-05-01,1257.180054,1262.810059,1239.069946,1242.050049,1242.050049,10050000,1263.958032,1267.524024,1265.118818,1242.050049,1242.050049,1242.050049
1985-05-02,1244.369995,1251.209961,1235.530029,1242.27002,1242.27002,9780000,1255.456031,1265.238025,1264.213218,1242.27002,1242.27002,1242.27002
1985-05-03,1243.709961,1253.859985,1238.300049,1247.23999,1247.23999,8680000,1249.868018,1263.306018,1263.674419,1247.23999,1247.23999,1247.23999
1985-05-06,1246.910034,1256.400024,1241.390015,1247.790039,1247.790039,7100000,1247.482031,1261.429016,1262.914819,1247.790039,1247.790039,1247.790039
