,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_10,sma_25,sma_75,sma_125,sma_200,%K,%D
0,0,1985-01-29,1277.719971,1295.48999,1266.890015,1292.619995,1292.619995,13560000,,,,,,,,
1,1,1985-01-30,1297.369995,1305.099976,1278.930054,1287.880005,1287.880005,16820000,,,,,,,,
2,2,1985-01-31,1283.23999,1293.400024,1272.640015,1286.77002,1286.77002,14070000,,,,,,,,
3,3,1985-02-01,1276.939941,1286.109985,1269.77002,1277.719971,1277.719971,10980000,,,,,,,,
4,4,1985-02-04,1272.079956,1294.939941,1268.98999,1290.079956,1290.079956,11630000,1287.0139894000001,,,,,,,
5,5,1985-02-05,1294.060059,1301.130005,1278.599976,1285.22998,1285.22998,13800000,1285.5359864,,,,,,,
6,6,1985-02-06,1284.890015,1294.5,1275.069946,1280.589966,1280.589966,14610000,1284.0779785999998,,,,,,,
7,7,1985-02-07,1285.0,1297.040039,1279.810059,1290.079956,1290.079956,11440000,1284.7399658000004,,,,,,,
8,8,1985-02-08,1290.079956,1297.150024,1281.359985,1289.969971,1289.969971,8000000,1287.1899658000002,,,,,,,
9,9,1985-02-11,1287.98999,1291.73999,1268.660034,1276.060059,1276.060059,12600000,1284.3859864,1285.6999879,,,,,,
10,10,1985-02-12,1271.199951,1283.130005,1266.339966,1276.609985,1276.609985,11870000,1282.6619874000005,1284.0989868999998,,,,,,
11,11,1985-02-13,1277.829956,1304.660034,1274.51001,1297.920044,1297.920044,14050000,1286.1280030000005,1285.1029907999996,,,,,,
12,12,1985-02-14,1301.790039,1307.530029,1283.680054,1287.880005,1287.880005,14020000,1285.6880127999998,1285.2139892999996,,,,,,
13,13,1985-02-15,1289.199951,1296.27002,1275.069946,1282.02002,1282.02002,8730000,1284.0980226,1285.6439941999995,,,,,,
14,14,1985-02-19,1279.810059,1287.430054,1273.52002,1280.589966,1280.589966,6690000,1285.004004,1284.6949951999995,,,,,,
15,15,1985-02-20,1280.150024,1292.51001,1272.530029,1283.130005,1283.130005,10760000,1286.308008,1284.4849976999994,,,,,,
16,16,1985-02-21,1280.369995,1287.099976,1272.640015,1279.040039,1279.040039,8600000,1282.5320069999998,1284.3300049999993,,,,,,
17,17,1985-02-22,1277.939941,1286.550049,1269.98999,1275.839966,1275.839966,8500000,1280.1239991999996,1282.9060059999995,,,,,,
18,18,1985-02-25,1269.98999,1283.130005,1263.910034,1277.5,1277.5,8420000,1279.2199951999996,1281.6590088999994,,,,,,
19,19,1985-02-26,1276.280029,1293.180054,1272.310059,1286.109985,1286.109985,11910000,1280.3239989999995,1282.6640014999996,,,,,50.89397878197842,
20,20,1985-02-27,1285.670044,1295.27002,1274.400024,1281.030029,1281.030029,11900000,1279.9040037999996,1283.1060058999992,,,,,39.24804438881758,
21,21,1985-02-28,1278.050049,1288.319946,1271.420044,1284.01001,1284.01001,8790000,1280.8979979999995,1281.7150024999992,,,,,46.079730178786036,
22,22,1985-03-01,1285.339966,1309.959961,1282.689941,1299.359985,1299.359985,14730000,1285.6020017999995,1282.8630004999989,,,,,76.98155743004769,
23,23,1985-03-04,1299.910034,1304.550049,1283.130005,1289.530029,1289.530029,12010000,1288.0080075999995,1283.6140013999989,,,,,55.635256490200305,
24,24,1985-03-05,1290.079956,1300.02002,1281.030029,1291.849976,1291.849976,10060000,1289.1560057999993,1284.7400023999992,1285.17679692,,,,60.67315155570162,
25,25,1985-03-06,1291.849976,1296.930054,1275.51001,1280.369995,1280.369995,10990000,1289.0239989999995,1284.4640013999992,1284.68679692,,,,35.743728757702506,
26,26,1985-03-07,1276.829956,1283.23999,1265.459961,1271.530029,1271.530029,9870000,1286.5280027999993,1283.7130003999996,1284.03279788,,,,16.547246643843785,
27,27,1985-03-08,1273.410034,1280.810059,1264.130005,1269.660034,1269.660034,9120000,1280.5880125999995,1283.0950071999996,1283.3483984400002,,,,12.486447589808334,
28,28,1985-03-11,1268.77002,1277.050049,1260.930054,1268.550049,1268.550049,7710000,1276.3920165999996,1282.2000120999996,1282.9816015600004,,,,15.541524482190027,40.98306662990763
29,29,1985-03-12,1267.560059,1279.47998,1262.47998,1271.75,1271.75,8340000,1272.3720213999998,1280.7640135999995,1282.2484033200005,,,,22.068053280215384,38.10047407973133
30,30,1985-03-13,1270.97998,1278.27002,1257.619995,1261.699951,1261.699951,8840000,1268.6380126,1278.8310057999995,1281.3072021600005,,,,7.795106324677471,34.95518027331732
31,31,1985-03-14,1258.719971,1269.209961,1254.199951,1260.050049,1260.050049,7950000,1266.3420165999999,1276.4350096999995,1280.4856054800005,,,,10.491565550292929,31.396363810468007
32,32,1985-03-15,1259.719971,1266.890015,1245.140015,1247.349976,1247.349976,11280000,1261.8800049999998,1271.2340087999996,1278.7764062800004,,,,3.4093842040535156,24.03914648786859
